date,fund,growth
2022-08-04,Combined Maximum-Sharpe (base),1.6905949467778318
2022-08-05,Combined Maximum-Sharpe (base),1.6972778761556861
2022-08-08,Combined Maximum-Sharpe (base),1.7095298642116665
2022-08-09,Combined Maximum-Sharpe (base),1.7352276442978831
2022-08-10,Combined Maximum-Sharpe (base),1.7410687869080383
2022-08-11,Combined Maximum-Sharpe (base),1.763494560416301
2022-08-12,Combined Maximum-Sharpe (base),1.7746583304271002
2022-08-15,Combined Maximum-Sharpe (base),1.7622421498798737
2022-08-16,Combined Maximum-Sharpe (base),1.763443219622411
2022-08-17,Combined Maximum-Sharpe (base),1.7610540327262902
2022-08-18,Combined Maximum-Sharpe (base),1.7803359018036102
2022-08-19,Combined Maximum-Sharpe (base),1.8161227979111254
2022-08-22,Combined Maximum-Sharpe (base),1.7894583258103236
2022-08-23,Combined Maximum-Sharpe (base),1.8160144025471867
2022-08-24,Combined Maximum-Sharpe (base),1.8207101737503149
2022-08-25,Combined Maximum-Sharpe (base),1.829419881578006
2022-08-26,Combined Maximum-Sharpe (base),1.8045137438937378
2022-08-29,Combined Maximum-Sharpe (base),1.8149430302347969
2022-08-30,Combined Maximum-Sharpe (base),1.7817340103319312
2022-08-31,Combined Maximum-Sharpe (base),1.7629132288163207
2022-09-01,Combined Maximum-Sharpe (base),1.7726184516011918
2022-09-02,Combined Maximum-Sharpe (base),1.7669168009470295
2022-09-06,Combined Maximum-Sharpe (base),1.7601508795364753
2022-09-07,Combined Maximum-Sharpe (base),1.763366602039765
2022-09-08,Combined Maximum-Sharpe (base),1.7685681275949523
2022-09-09,Combined Maximum-Sharpe (base),1.7894132615667486
2022-09-12,Combined Maximum-Sharpe (base),1.8077027881488863
2022-09-13,Combined Maximum-Sharpe (base),1.764954672477971
2022-09-14,Combined Maximum-Sharpe (base),1.7970800538892444
2022-09-15,Combined Maximum-Sharpe (base),1.780716385525493
2022-09-16,Combined Maximum-Sharpe (base),1.7748820199182016
2022-09-19,Combined Maximum-Sharpe (base),1.7762220666905972
2022-09-20,Combined Maximum-Sharpe (base),1.7623245251222084
2022-09-21,Combined Maximum-Sharpe (base),1.7379459104194672
2022-09-22,Combined Maximum-Sharpe (base),1.743293687772679
2022-09-23,Combined Maximum-Sharpe (base),1.6951810912258385
2022-09-26,Combined Maximum-Sharpe (base),1.6650418066166257
2022-09-27,Combined Maximum-Sharpe (base),1.6638549421666726
2022-09-28,Combined Maximum-Sharpe (base),1.7105422814290323
