ticker,date,sector,n_headlines,vader_mean
AMD,2023-05-05,Tech,7,0.0455
AMD,2023-05-08,Tech,10,0.25037
AMD,2023-05-09,Tech,9,0.14074444444444445
AMD,2023-05-10,Tech,5,0.12218
AMD,2023-05-11,Tech,8,0.04384999999999999
AMD,2023-05-12,Tech,3,0.21230000000000002
AMD,2023-05-15,Tech,7,0.054542857142857136
AMD,2023-05-16,Tech,10,0.028010000000000014
AMD,2023-05-17,Tech,5,0.09152
AMD,2023-05-18,Tech,6,0.20613333333333336
AMD,2023-05-19,Tech,8,0.1867375
AMD,2023-05-22,Tech,13,0.02013076923076923
AMD,2023-05-23,Tech,5,0.31570000000000004
AMD,2023-05-24,Tech,6,0.11323333333333334
AMD,2023-05-25,Tech,21,0.2899809523809524
AMD,2023-05-26,Tech,6,0.328
AMD,2023-05-30,Tech,22,0.16701818181818184
AMD,2023-05-31,Tech,13,0.0008846153846153854
AMD,2023-06-01,Tech,8,0.25770000000000004
AMD,2023-06-02,Tech,7,0.18364285714285714
AMD,2023-06-05,Tech,8,0.133975
AMD,2023-06-06,Tech,10,-0.10446
AMD,2023-06-07,Tech,6,0.37768333333333337
AMD,2023-06-08,Tech,7,0.1738
AMD,2023-06-09,Tech,10,0.26609999999999995
AMD,2023-06-12,Tech,8,0.08845
AMD,2023-06-13,Tech,14,0.14276428571428573
AMD,2023-06-14,Tech,19,0.24903684210526317
AMD,2023-06-15,Tech,8,0.115075
AMD,2023-06-16,Tech,8,-0.005087499999999995
AMD,2023-06-20,Tech,16,0.14859375000000002
AMD,2023-06-21,Tech,9,0.1890333333333333
AMD,2023-06-22,Tech,9,0.21580000000000002
AMD,2023-06-23,Tech,4,0.30269999999999997
AMD,2023-06-26,Tech,6,0.2615166666666667
AMD,2023-06-27,Tech,5,0.30782000000000004
AMD,2023-06-28,Tech,17,-0.03132941176470588
AMD,2023-06-29,Tech,10,0.15773
AMD,2023-06-30,Tech,6,0.09038333333333333
AMD,2023-07-03,Tech,5,0.41752
AMD,2023-07-05,Tech,10,0.27581
AMD,2023-07-06,Tech,9,0.06506666666666668
AMD,2023-07-07,Tech,3,0.2641
AMD,2023-07-10,Tech,9,0.14897777777777776
AMD,2023-07-11,Tech,7,0.25202857142857144
AMD,2023-07-12,Tech,7,0.21832857142857146
AMD,2023-07-13,Tech,5,0.1
AMD,2023-07-14,Tech,8,0.1562625
AMD,2023-07-17,Tech,7,0.16417142857142858
AMD,2023-07-18,Tech,6,0.3931
AMD,2023-07-19,Tech,3,0.0
AMD,2023-07-20,Tech,8,-0.016612500000000002
AMD,2023-07-21,Tech,9,0.19044444444444447
AMD,2023-07-24,Tech,12,0.23017500000000002
AMD,2023-07-25,Tech,6,0.021383333333333327
AMD,2023-07-26,Tech,10,0.15337
AMD,2023-07-27,Tech,10,0.18204000000000004
AMD,2023-07-28,Tech,14,0.1613642857142857
AMD,2023-07-31,Tech,32,0.25440624999999994
AMD,2023-08-01,Tech,20,0.22378500000000004
AMD,2023-08-02,Tech,34,0.04142058823529413
AMD,2023-08-03,Tech,11,0.09369090909090909
AMD,2023-08-04,Tech,8,0.32501250000000004
AMD,2023-08-07,Tech,8,0.057850000000000006
AMD,2023-08-08,Tech,7,0.10065714285714285
AMD,2023-08-09,Tech,5,0.01868000000000001
AMD,2023-08-10,Tech,5,0.16055999999999998
AMD,2023-08-11,Tech,6,0.13596666666666668
AMD,2023-08-14,Tech,11,0.09207272727272729
AMD,2023-08-15,Tech,7,0.24955714285714287
AMD,2023-08-16,Tech,9,0.12780000000000002
AMD,2023-08-17,Tech,6,0.18099999999999997
AMD,2023-08-18,Tech,6,0.16573333333333334
AMD,2023-08-21,Tech,13,0.26789230769230776
AMD,2023-08-22,Tech,15,0.042813333333333335
AMD,2023-08-23,Tech,11,0.2571818181818182
AMD,2023-08-24,Tech,27,0.20535555555555554
AMD,2023-08-25,Tech,9,-0.050977777777777775
AMD,2023-08-28,Tech,7,0.27470000000000006
AMD,2023-08-29,Tech,7,0.3276714285714286
AMD,2023-08-30,Tech,7,0.17718571428571428
AMD,2023-08-31,Tech,7,0.07120000000000001
AMD,2023-09-01,Tech,7,0.2828857142857143
AMD,2023-09-05,Tech,14,0.32315
AMD,2023-09-06,Tech,6,0.14175
AMD,2023-09-07,Tech,8,0.3599125000000001
AMD,2023-09-08,Tech,3,-0.09866666666666667
AMD,2023-09-11,Tech,12,0.2879416666666667
AMD,2023-09-12,Tech,5,0.15846
AMD,2023-09-13,Tech,3,0.5035
AMD,2023-09-14,Tech,8,0.25706249999999997
